accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio
WP_147583402.1	GasderMIN	GasderMIN	Flavobacterium alkalisoli	GCF_008000935_NZ_CP042831_GasderMIN_2	GCF_008000935.1_NZ_CP042831_02015	GCF_008000935.1_NZ_CP042831_02015	1	202	A0A5B9FUL3	A0A371D7X5	A0A6I4AZW5	P14222	0.09995	1	0.064	153	119	0	85	237	36	163	0.09591	18	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	36.0..163.0	128	233							0.41981982	128	0.549356223
WP_192185857.1	GasderMIN	GasderMIN	Flavobacterium sp. MDT1-60	GCF_014844035_NZ_CP062159_GasderMIN_3	GCF_014844035.1_NZ_CP062159_04412	GCF_014844035.1_NZ_CP062159_04412	1	202	A0A7L8UDG4	A0A371D7X5	A0A6I4AZW5	E6Y8C6	0.09995	1	0.078	153	117	0	85	237	36	163	0.1175	9	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000259|PROSITE:PS51412']	36.0..163.0	128	233							0.41981982	128	0.549356223
WP_192185857.1	GasderMIN	GasderMIN	Flavobacterium sp. MDT1-60	GCF_014844035_NZ_CP062159_GasderMIN_3	GCF_014844035.1_NZ_CP062159_04412	GCF_014844035.1_NZ_CP062159_04412	1	202	A0A7L8UDG4	A0A371D7X5	A0A6I4AZW5	P14222	0.09995	1	0.076	153	117	0	85	237	36	163	0.2115	8	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	36.0..163.0	128	233							0.41981982	128	0.549356223
WP_012023900.1	GasderMIN	GasderMIN	Flavobacterium johnsoniae	GCF_000016645_NC_009441_GasderMIN_4	GCF_000016645.1_NC_009441_01887	GCF_000016645.1_NC_009441_01887	1	202	A5FIW4	A0A371D7X5	A0A6I4AZW5	E6Y8C6	0.09995	1	0.069	153	118	0	85	237	36	163	0.04407	18	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000259|PROSITE:PS51412']	36.0..163.0	128	233							0.41981982	128	0.549356223
WP_012023900.1	GasderMIN	GasderMIN	Flavobacterium johnsoniae	GCF_000016645_NC_009441_GasderMIN_4	GCF_000016645.1_NC_009441_01887	GCF_000016645.1_NC_009441_01887	1	202	A5FIW4	A0A371D7X5	A0A6I4AZW5	P14222	0.09995	1	0.08	153	117	0	85	237	36	163	0.03279	19	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	36.0..163.0	128	233							0.41981982	128	0.549356223
WP_014444130.1	GasderMIN	GasderMIN	Actinoplanes missouriensis	GCF_000284295_NC_017093_GasderMIN_1	GCF_000284295.1_NC_017093_04052	GCF_000284295.1_NC_017093_04052	1	202	I0H899	A0A2N2MYY3	A0A1S3WF49	K7EJJ1	0.1202	1	0.074	106	70	0	110	215	154	230	2.501	2	unreviewed	K7EJJ1_HUMAN	AP-1 complex subunit mu-2 (AP-mu chain family member mu1B) (Adaptor protein complex AP-1 subunit mu-2) (Adaptor-related protein complex 1 subunit mu-2) (Clathrin assembly protein complex 1 mu-2 medium chain 2) (Golgi adaptor HA1/AP1 adaptin mu-2 subunit) (Mu-adaptin 2) (Mu1B-adaptin)	AP1M2	Homo sapiens (Human)			AP1M2		UP000005640: Chromosome 19	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	clathrin adaptor complex [GO:0030131]; endomembrane system [GO:0012505]	clathrin adaptor complex [GO:0030131]; endomembrane system [GO:0012505]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]		GO:0006886; GO:0012505; GO:0016192; GO:0030131		2.60.40.1170:FF:000046; AP-1 complex subunit mu-2; 1.;	"3.30.450.60; -; 1.;""2.60.40.1170; Mu homology domain, subdomain B; 1."";"	"IPR050431; Adaptor_comp_med_subunit.;""IPR036168; AP2_Mu_C_sf."";""IPR001392; Clathrin_mu."";""IPR018240; Clathrin_mu_CS."";""IPR011012; Longin-like_dom_sf."";""IPR028565; MHD."";"	PTHR10529; AP COMPLEX SUBUNIT MU; 1.;	PF00928; Adap_comp_sub; 1.;	"PS00990; CLAT_ADAPTOR_M_1; 1.;""PS00991; CLAT_ADAPTOR_M_2; 1."";""PS51072; MHD; 1."";"			110.0..215.0	106	245	89..245	67.52	100.00	43.27	['MHD']	['ECO:0000259|PROSITE:PS51072']	154.0..230.0	77	264							1.07755102	77	0.314285714
WP_065010818.1	GasderMIN	GasderMIN	Mesorhizobium sp. AA22	GCF_001672375_NZ_CP048406_GasderMIN_1	GCF_001672375.2_NZ_CP048406_02517	GCF_001672375.2_NZ_CP048406_02517	1	202	A0A8T8CUN7																																								nan..nan									nan..nan		251									
WP_239489731.1	GasderMIN	GasderMIN	Luteitalea sp. TBR-22	GCF_016865485_NZ_AP024452_GasderMIN_1	GCF_016865485.1_NZ_AP024452_04136	GCF_016865485.1_NZ_AP024452_04136	1	202	A0A915UF06																																								nan..nan									nan..nan		269									
WP_066768659.1	GasderMIN	GasderMIN	Sphingobium xenophagum	GCF_018889915_NZ_CP076556_GasderMIN_1	GCF_018889915.1_NZ_CP076556_03346	GCF_018889915.1_NZ_CP076556_03346	1	202	A0AA42WQ71																																								nan..nan									nan..nan		263									
WP_229974382.1	GasderMIN	GasderMIN	Flavobacterium sp. F-70	GCF_020911905_NZ_CP087133_GasderMIN_3	GCF_020911905.1_NZ_CP087133_03230	GCF_020911905.1_NZ_CP087133_03230	1	202	A0AAJ2VXD1																																								nan..nan									nan..nan		233									
WP_023174547.1	GasderMIN	GasderMIN	Gloeobacter kilaueensis	GCF_000484535_NC_022600_GasderMIN_3	GCF_000484535.1_NC_022600_03058	GCF_000484535.1_NC_022600_03058	1	202	U5QNR8	U5QNR8																																							nan..nan									nan..nan		482									
